"ID" "item" "session" "res" "correct" "type" "trial" "RT" "score" "origin" "quality" "group" "twice"
"7d2472fb" "lita1lita8" 1 1 1 "lita" "diff" 3192 1 "native" "good" 5 FALSE
"7d2472fb" "lita8lita1" 1 1 1 "lita" "diff" 2973 1 "native" "good" 5 FALSE
"7d2472fb" "lita8lita8" 1 0 1 "lita" "same" 2701 1 "native" "good" 5 FALSE
"832974ce" "guta1guta8" 0 0 0 "guta" "diff" 4157 1 "native" "good" 5 FALSE
"832974ce" "guta8guta8" 0 0 1 "guta" "same" 4933 1 "native" "good" 5 FALSE
"832974ce" "guta8guta1" 0 1 1 "guta" "diff" 5634 1 "native" "good" 5 FALSE
"832974ce" "guta1guta1" 0 0 1 "guta" "same" 3914 1 "native" "good" 5 FALSE
"832974ce" "lita1lita1" 0 0 1 "lita" "same" 4908 1 "native" "good" 5 FALSE
"832974ce" "lita8lita8" 0 0 1 "lita" "same" 4177 1 "native" "good" 5 FALSE
"832974ce" "lita8lita1" 0 0 0 "lita" "diff" 3855 1 "native" "good" 5 FALSE
"832974ce" "lita1lita8" 0 1 1 "lita" "diff" 3449 1 "native" "good" 5 FALSE
"832974ce" "guta8guta8" 1 0 1 "guta" "same" 3700 1 "native" "good" 5 FALSE
"832974ce" "guta1guta8" 1 1 1 "guta" "diff" 4679 1 "native" "good" 5 FALSE
"832974ce" "guta1guta1" 1 1 0 "guta" "same" 5034 1 "native" "good" 5 FALSE
"832974ce" "guta8guta1" 1 1 1 "guta" "diff" 3982 1 "native" "good" 5 FALSE
"832974ce" "lita8lita1" 1 1 1 "lita" "diff" 3960 1 "native" "good" 5 FALSE
"832974ce" "lita1lita8" 1 1 1 "lita" "diff" 3988 1 "native" "good" 5 FALSE
"832974ce" "lita8lita8" 1 0 1 "lita" "same" 4122 1 "native" "good" 5 FALSE
"832974ce" "lita1lita1" 1 1 0 "lita" "same" 3478 1 "native" "good" 5 FALSE
"6928e920" "guta8guta8" 0 0 1 "guta" "same" 3870 1 "native" "good" 5 FALSE
"6928e920" "guta1guta8" 0 0 0 "guta" "diff" 4750 1 "native" "good" 5 FALSE
"6928e920" "guta8guta1" 0 1 1 "guta" "diff" 5982 1 "native" "good" 5 FALSE
"6928e920" "guta1guta1" 0 0 1 "guta" "same" 3262 1 "native" "good" 5 FALSE
"6928e920" "lita1lita1" 0 0 1 "lita" "same" 4771 1 "native" "good" 5 FALSE
"6928e920" "lita1lita8" 0 1 1 "lita" "diff" 4025 1 "native" "good" 5 FALSE
"6928e920" "lita8lita8" 0 0 1 "lita" "same" 3663 1 "native" "good" 5 FALSE
"6928e920" "lita8lita1" 0 1 1 "lita" "diff" 4704 1 "native" "good" 5 FALSE
"6928e920" "guta8guta1" 1 1 1 "guta" "diff" 3670 1 "native" "good" 5 FALSE
"6928e920" "guta1guta1" 1 0 1 "guta" "same" 3031 1 "native" "good" 5 FALSE
"6928e920" "guta8guta8" 1 0 1 "guta" "same" 3345 1 "native" "good" 5 FALSE
"6928e920" "guta1guta8" 1 1 1 "guta" "diff" 3251 1 "native" "good" 5 FALSE
"6928e920" "lita1lita8" 1 0 0 "lita" "diff" 3940 1 "native" "good" 5 FALSE
"6928e920" "lita8lita8" 1 0 1 "lita" "same" 3093 1 "native" "good" 5 FALSE
"6928e920" "lita8lita1" 1 1 1 "lita" "diff" 3614 1 "native" "good" 5 FALSE
"6928e920" "lita1lita1" 1 0 1 "lita" "same" 3143 1 "native" "good" 5 FALSE
"5a912643" "guta1guta1" 0 0 1 "guta" "same" 5643 1 "native" "good" 5 FALSE
"5a912643" "guta8guta1" 0 0 0 "guta" "diff" 4157 1 "native" "good" 5 FALSE
"5a912643" "guta1guta8" 0 1 1 "guta" "diff" 4146 1 "native" "good" 5 FALSE
"5a912643" "guta8guta8" 0 0 1 "guta" "same" 3795 1 "native" "good" 5 FALSE
"5a912643" "lita8lita1" 0 1 1 "lita" "diff" 4577 1 "native" "good" 5 FALSE
"5a912643" "lita1lita8" 0 0 0 "lita" "diff" 4346 1 "native" "good" 5 FALSE
"5a912643" "lita8lita8" 0 0 1 "lita" "same" 4610 1 "native" "good" 5 FALSE
"5a912643" "lita1lita1" 0 0 1 "lita" "same" 3731 1 "native" "good" 5 FALSE
